,Holder,Shares,Date Reported,% Out,Value,Target
8,"AllianceBernstein, L.P.",64397740.0,2022-06-29,0.0104,7043341818.0,GOOG
9,Northern Trust Corporation,63766880.0,2022-06-29,0.0103,6974343082.0,GOOG
0,"Vanguard Group, Inc. (The)",157858901.0,2022-06-29,0.0877,6593766294.0,MO
1,Blackrock Inc.,140640523.0,2022-06-29,0.0781,5874554645.0,MO
2,Capital World Investors,85481126.0,2022-06-29,0.0475,3570546633.0,MO
3,State Street Corporation,71065920.0,2022-06-29,0.0395,2968423478.0,MO
4,"Charles Schwab Investment Management, Inc.",37963304.0,2022-06-29,0.021099999999999997,1585727208.0,MO
5,"Geode Capital Management, LLC",34463779.0,2022-06-29,0.0191,1439552048.0,MO
6,"FMR, LLC",24529225.0,2022-06-29,0.013600000000000001,1024585728.0,MO
7,Bank Of New York Mellon Corporation,23324903.0,2022-06-29,0.013000000000000001,974281198.0,MO
8,Capital International Investors,20978950.0,2022-06-29,0.0116,876290741.0,MO
9,Capital Research Global Investors,19668075.0,2022-06-29,0.0109,821535492.0,MO
0,"Vanguard Group, Inc. (The)",689093882.0,2022-06-29,0.0676,73188661207.0,AMZN
1,Blackrock Inc.,587459057.0,2022-06-29,0.057699999999999994,62394026443.0,AMZN
2,State Street Corporation,326727487.0,2022-06-29,0.0321,34701726394.0,AMZN
3,Price (T.Rowe) Associates Inc,311971394.0,2022-06-29,0.030600000000000002,33134481756.0,AMZN
4,"FMR, LLC",286047356.0,2022-06-29,0.0281,30381089680.0,AMZN
5,"Geode Capital Management, LLC",152022631.0,2022-06-29,0.0149,16146323638.0,AMZN
6,Morgan Stanley,120385962.0,2022-06-29,0.0118,12786193024.0,AMZN
7,JP Morgan Chase & Company,106763557.0,2022-06-29,0.0105,11339357388.0,AMZN
8,Capital Research Global Investors,100280938.0,2022-06-29,0.0098,10650838424.0,AMZN
9,Northern Trust Corporation,94997372.0,2022-06-29,0.009300000000000001,10089670880.0,AMZN
0,State Street Corporation,121269740.0,2022-06-29,0.0814,1507382868.0,AMCR
1,Blackrock Inc.,115524533.0,2022-06-29,0.0776,1435969945.0,AMCR
2,"Vanguard Group, Inc. (The)",56058402.0,2022-06-29,0.037599999999999995,696805936.0,AMCR
3,"Geode Capital Management, LLC",29191962.0,2022-06-29,0.0196,362856087.0,AMCR
4,Invesco Ltd.,26886336.0,2022-06-29,0.0181,334197156.0,AMCR
5,"Charles Schwab Investment Management, Inc.",25320557.0,2022-06-29,0.017,314734523.0,AMCR
6,"Federated Hermes, Inc.",19299989.0,2022-06-29,0.013000000000000001,239898863.0,AMCR
7,Polaris Capital Management Inc,16044372.0,2022-06-29,0.0108,199431543.0,AMCR
8,"ProShares Advisors, LLC",14529025.0,2022-06-29,0.0098,180595780.0,AMCR
9,Northern Trust Corporation,12627130.0,2022-06-29,0.0085,156955225.0,AMCR
0,"Vanguard Group, Inc. (The)",133645149.0,2022-06-29,0.0828,10219844544.0,AMD
1,Blackrock Inc.,116372092.0,2022-06-29,0.0721,8898973875.0,AMD
2,State Street Corporation,65117714.0,2022-06-29,0.0403,4979551589.0,AMD
3,Price (T.Rowe) Associates Inc,53555616.0,2022-06-29,0.0332,4095397955.0,AMD
4,"FMR, LLC",49140967.0,2022-06-29,0.0304,3757809746.0,AMD
5,JP Morgan Chase & Company,36827155.0,2022-06-29,0.022799999999999997,2816172542.0,AMD
6,"Geode Capital Management, LLC",28305180.0,2022-06-29,0.0175,2164497114.0,AMD
7,"Fisher Asset Management, LLC",25143103.0,2022-06-29,0.015600000000000001,1922693086.0,AMD
8,Northern Trust Corporation,16507842.0,2022-06-29,0.0102,1262354677.0,AMD
9,Bank Of New York Mellon Corporation,14616636.0,2022-06-29,0.0091,1117734154.0,AMD
0,"Vanguard Group, Inc. (The)",30747099.0,2022-06-29,0.11900000000000001,2778307865.0,AEE
1,Price (T.Rowe) Associates Inc,21076973.0,2022-06-29,0.0816,1904515280.0,AEE
2,Blackrock Inc.,18515669.0,2022-06-29,0.0717,1673075850.0,AEE
3,State Street Corporation,14088220.0,2022-06-29,0.0545,1273011559.0,AEE
4,JP Morgan Chase & Company,8018951.0,2022-06-29,0.031,724592412.0,AEE
5,"Ameriprise Financial, Inc.",6431955.0,2022-06-29,0.024900000000000002,581191453.0,AEE
6,Deutsche Bank Aktiengesellschaft,6383265.0,2022-06-29,0.024700000000000003,576791825.0,AEE
7,"Geode Capital Management, LLC",5284307.0,2022-06-29,0.020499999999999997,477489980.0,AEE
8,Nuveen Asset Management,3829200.0,2022-06-29,0.0148,346006512.0,AEE
9,Pictet Asset Management SA,3801154.0,2022-06-29,0.0147,343472275.0,AEE
0,"Vanguard Group, Inc. (The)",70335360.0,2022-06-29,0.1082,891852364.0,AAL
1,Primecap Management Company,39492616.0,2022-06-29,0.0608,500766370.0,AAL
2,Blackrock Inc.,35173075.0,2022-06-29,0.0541,445994591.0,AAL
3,State Street Corporation,20858083.0,2022-06-29,0.0321,264480492.0,AAL
4,"U.S. Global Investors, Inc.",17864691.0,2022-06-29,0.0275,226524281.0,AAL
5,"Geode Capital Management, LLC",13060759.0,2022-06-29,0.020099999999999996,165610424.0,AAL
6,"Renaissance Technologies, LLC",7948300.0,2022-06-29,0.012199999999999999,100784444.0,AAL
7,"Two Sigma Advisers, LP",7309400.0,2022-06-29,0.011200000000000002,92683192.0,AAL
8,Invesco Ltd.,6892035.0,2022-06-29,0.0106,87391003.0,AAL
9,Nuveen Asset Management,5262738.0,2022-06-29,0.008100000000000001,66731517.0,AAL
0,"Vanguard Group, Inc. (The)",46828465.0,2022-06-29,0.0944,4492722932.0,AEP
1,Blackrock Inc.,42350808.0,2022-06-29,0.08539999999999999,4063136519.0,AEP
